,agent_type,scenario,reward,steps,interaction_num,duration,cost,datetime
0,react,0,44.712,1299,12,17.292501886685688,5.589359999999998,2024-05-15_20-15-30
1,reflexion,0,43.033,1199,10,26.03636460701625,7.432450000000002,2024-05-15_20-14-51
2,react,3,28.19,1499,13,19.432916442553203,6.907760000000001,2024-05-15_20-32-53
3,react,4,36.756,1599,15,18.968763279914857,6.0655600000000005,2024-05-15_20-52-27
4,reflexion,3,21.997,1299,10,35.43458069562912,11.71802,2024-05-15_20-40-57
5,reflexion,4,41.292,1999,16,57.041781270504,19.166329999999988,2024-05-15_21-16-29
6,hm,0,53.24499999999999,1599,14,34.65416110754013,11.02772,2024-05-15_22-04-15
7,hm,3,49.627,3299,29,72.47986690998077,19.152580000000007,2024-05-15_22-39-01
8,hm,4,48.24,2299,20,53.37229077418645,13.4773,2024-05-15_23-51-41
9,reflexion,0,44.903,1499,12,34.8166242758433,11.161770000000002,2024-05-19_18-24-32
10,hm,0,61.063,1999,16,39.37323157389959,12.55864,2024-05-19_18-24-18
11,hm,0,41.282,1399,11,30.379101145267487,10.174109999999995,2024-05-19_19-03-47
12,reflexion,0,62.609,2099,16,58.27598173220952,20.395950000000006,2024-05-19_18-59-27
13,react,0,46.759,1399,13,16.621805115540823,5.37029,2024-05-19_20-05-43
14,reflexion,3,19.649,1099,9,30.081652454535167,9.639949999999995,2024-05-19_19-57-52
15,react,0,29.601,1199,8,18.28024730682373,7.560119999999999,2024-05-19_20-22-27
16,hm,3,53.355,3699,30,81.82034799655278,25.42755000000001,2024-05-19_19-34-16
17,react,3,30.270000000000003,2099,16,29.57851045926412,12.36565,2024-05-19_20-40-49
18,hm,3,26.801,1399,13,28.535222228368124,6.908440000000001,2024-05-19_20-56-22
19,react,3,18.624,1299,12,14.757892942428589,4.773690000000001,2024-05-19_21-10-32
20,react,4,35.104,1399,10,18.36810886065165,6.828410000000002,2024-05-19_21-25-22
21,hm,4,30.872,1099,9,20.24004362821579,5.375329999999999,2024-05-19_21-25-00
22,react,4,27.747,1099,8,15.306583253542582,5.396110000000001,2024-05-19_21-43-50
23,hm,4,27.879000000000005,1099,9,22.654905144373576,7.05843,2024-05-19_21-45-20
